habitatID,habitatLevel,habitatType,habitatDetails
C3.28,4,Riparian great fen sedge beds,"Species-poor [Cladium mariscus] formations of Palaearctic riversides or lakesides, with a [Phragmition] cortège, mostly characteristic of Mediterranean regions, including North Africa, where they are, however, uncommon."
C3.29,4,Water-fringing large sedge communities,"Beds of large sedges [Carex rostrata], [Carex acuta], [Carex riparia], [Carex elata] in the littoral zone of freshwaters. Note that large sedge formations developed on moist soils, not inundated during most of the year, are included in D5.21."
C3.2A,4,Brackish and alkaline [Cirsium brachycephalum] beds,"Beds of [Bolboschoenus maritimus ssp. compactus] and [Cirsium brachycephalum] on saline soils which are species-poor and structurally simple. [Puccinellia limosa], [Tripolium pannonicum] and [Potentilla anserina] are also typical."
C3.3,3,Water-fringing beds of tall canes,Mediterranean beds of tall canes lining permanent or temporary water courses and water bodies. Included are beds of [Arundo donax] (C3.32) and [Saccharum ravennae] (C3.31). 
C3.31,4,Ravenna cane ([Saccharum ravennae]) communities,"Mediterranean and, locally, southern and southwestern Pontic, tall cane beds formed by [Imperata cylindrica], [Saccharum ravennae] ([Erianthus ravennae]), [Saccharum strictum], [Saccharum spontaneum] ([Saccharum aegyptiacum]), [Arundo plinii], [Hemarthria altissima], mostly lining temporary water courses, but also developing in damp depressions, in particular dune slacks."
C3.32,4,Provence cane ([Arundo donax]) beds,"Very tall thickets of [Arundo donax] lining water courses of the Middle East and Central Asia; similar formations of the Mediterranean basin, where the species is an old introduction, are included."
C3.4,3,Species-poor beds of low-growing water-fringing or amphibious vegetation,"Includes isoetids of the shores of oligotrophic lakes, [Nasturtium aquaticum] by streams, mediterranean dwarf [Scirpus] swards, and other species-poor but dissimilar types of vegetation."
C3.41,4,Euro-Siberian perennial amphibious communities,"Carpets of perennial vegetation submerged for a considerable part of the year in oligotrophic or mesotrophic lakes, ponds and pools of the boreal and nemoral zones of the Palaearctic and of mountains of the southern Palaearctic. "
C3.411,5,"Shoreweed lawns, lobelia ponds, quillwort swards","[Littorella uniflora], [Lobelia dortmanna] and [Isoetes] spp. formations of oligotrophic waters of the boreal and nemoral zones of the Palaearctic and of mountains of the southern Palaearctic."
C3.4111,6,Shoreweed lawns,"Dense, almost monospecific [Littorella uniflora] lawns of lake shores subject to great annual variations of the water level and long emergence, and other [Littorella]-dominated associations."
C3.4112,6,Lobelia ponds,"[Lobelia dortmanna] colonies of shallow oligotrophic, moderately acid ponds."
C3.4113,6,Euro-Siberian quillwort swards,"Clear-water quillwort swards formed by the northern European and montane [Isoetes lacustris] and [Isoetes echinospora] or by the very local endemics [Isoetes tenuissima] of central western France and [Isoetes brochonii] of the eastern Pyrenees. Associated species may include [Lobelia dortmanna], [Sparganium angustifolium], [Littorella uniflora], [Hippuris vulgaris]."
C3.4114,6,Floating bur-reed communities,"[Sparganium angustifolium]-dominated formations of small oligotrophic ponds, characteristic, in particular, of the upper montane and subalpine levels of the Alps and of the greater Hercynian ranges, locally recorded from sub-Atlantic heath regions of the Germano-Baltic plain, also capable of occurring, within the extensive Fennoscandian range of the species, and in coastal areas of Iceland, as a facies of the [Isoetes] communities of unit C3.4111. "
C3.4115,6,Boreo-Arctic lake mud communities,"Amphibious communities dominated by [Ranunculus reptans] and [Subularia aquatica] colonizing, sometimes on large surfaces, the bottom of water bodies of Fennoscandia, Iceland and the Faeroe Islands, mostly in situations characterized by relatively large fluctuations of the water level."
C3.4116,6,[Myriophyllum alterniflorum] communities,"Oligotrophic pool and pool fringe communities of the northern Palaearctic dominated by [Myriophyllum alterniflorum], characteristic of weakly acid clear waters on limestone-free substrates, sometimes with [Ranunculus reptans], [Littorella uniflora]."
C3.412,5,Spike-rush shallow-water swards,"[Eleocharis acicularis] beds of the Palaearctic, characteristic of more organic soils and mesotrophic waters than the communities of unit C3.411."
C3.413,5,Acid pool fringe shallow-water swards,"[Eleocharis multicaulis], [Scirpus fluitans], [Juncus bulbosus], [Hypericum elodes], [Pilularia globulifera], [Deschampsia setacea], [Ranunculus flammula], [Littorella uniflora] communities of shallow acid pools of the Palaearctic and their margins susceptible to short periods of emersion."
C3.4131,6,[Eleocharis multicaulis] communities,"Oligotrophic pool fringe communities of the western Palaearctic dominated by [Eleocharis multicaulis], [Deschampsia setacea]."
C3.4132,6,Dune slack shoreweed swards,"Communities of humid sands and pool fringes in oligotrophic dunes of the Atlantic, the North Sea and the southern Baltic, with [Samolus valerandi] and [Littorella uniflora]."
C3.4133,6,[Pilularia] swards,"Oligotrophic pool fringe communities of western and central Europe, north to Denmark and southern Fennoscandia, east to Poland, the Czech Republic and the Balkan peninsula, dominated by the fern [Pilularia globulifera]."
C3.4134,6,[Juncus bulbosus] communities,"Oligotrophic pool fringe communities of sub-Atlantic Europe dominated by [Juncus bulbosus], often accompanied by [Ranunculus flammula], [Agrostis canina], [Glyceria fluitans]."
C3.4135,6,[Scirpus fluitans] communities,"Pool fringe communities dominated by [Scirpus fluitans] ([Eleogiton fluitans], [Isolepis fluitans]), characteristic of mesotrophic to dystrophic heath pools on sands or muds, particularly within the [Quercion] domaine, with periods of drying usually short, sometimes permanently inundated."
C3.4136,6,[Apium inundatum] communities,"Pool fringe communities of western and central Europe dominated by [Apium inundatum], characteristic of oligotrophic to mesotrophic fluctuating pools, in particular, dune slack pools and forest pools."
C3.414,5,[Baldellia] shore swards,"Communities of the shores of shallow oligotrophic pools of the Atlantic domaine of Europe susceptible to prolonged summer desiccation, usually developed on peaty or parapeaty soils, dominated by, or rich in [Baldellia ranunculoides], with [Hydrocotyle vulgaris], [Hypericum helodes]. They are recorded, in particular, from the Paris Basin, Normandy, the New Forest, Cornwall, southern Scandinavia, and, on the shores of of limestone pools, in the Burren of western Ireland."
C3.415,5,Shore hairgrass swards,[Deschampsia littoralis] agg. formations of peri-Alpine lakes.
C3.42,4,Mediterraneo-Atlantic amphibious communities,"Perennial and annual communities of mediterranean, thermo-Atlantic and Macaronesian temporary ponds, river banks and spring sides. Vegetation mainly from the class [Isoeto-Nanojuncetea]."
C3.421,5,Short Mediterranean amphibious communities,"Formations of Mediterranean, thermo-Atlantic and Macaronesian entirely or partially summer-dry ponds, pools and ditches with [Isoetes] spp., [Marsilea quadrifolia], [Marsilea strigosa], [Pilularia globulifera], [Pilularia minuta], [Mentha pulegium], [Lythrum hyssopifolia] s.l., [Trifolium filiforme], [Peplis erecta], [Teucrium cravense], [Serapias lingua], [Juncus bufonius], [Juncus capitatus], [Juncus pygmaeus], [Juncus fasciculatus], [Scirpus savii], sometimes (rocky edges of fast rivulets), [Spiranthes aestivalis] and [Anagallis tenella]."
C3.4211,6,Terrestrial quillwort communities,"[Isoetes histrix], [Isoetes durieui] formations of Mediterranean ephemeral waters."
C3.4212,6,Mediterranean aquatic quillwort swards,"Communities formed by [Isoetes boryana], [Isoetes delilei], [Isoetes heldreichii], [Isoetes velata], [Isoetes azorica] or [Isoetes malinverniana] in fluctuating waterbodies. "
C3.4213,6,Azorean quillwort swards,Endemic [Isoetes azorica] communities of pools and small lakes of the Azores.
C3.4214,6,Mediterranean small galingale swards,"Mediterranean and thermo-Atlantic formations dominated by [Cyperus fuscus], [Cyperus flavescens] or [Cyperus michelianus]."
C3.4215,6,Mediterranean [Fimbristylis] swards,"Formations dominated by [Fimbristylis bisumbellata], often with [Cyperus] spp., in particular, [Cyperus flavescens]."
C3.4216,6,Mediterranean [Chaetopogon] swards,Formations dominated by [Chaetopogon fasciculatus].
C3.4217,6,Bog pimpernell-summer lady's tresses communities,"Formations of the sandy, rocky edges of rivulets of the Mediterranean region. "
C3.4218,6,Mediterranean amphibious small herb communities,"Formations of Mediterranean temporarily inundated or wet terrain, including karstic pools, often highly ephemeral, dominated by annual small herbs, among which [Elatine] spp. ([Elatine macropoda], [Elatine gussonei], [Elatine pedunculata]), [Damasonium bourgaei], [Nananthea perpusilla], [Morisia monanthos], [Blackstonia perfoliata], [Samolus valerandi], [Radiola linoides], [Myosurus minimus], [Laurentia gasparrinii], [Laurentia tenella]."
C3.4219,6,Mediterranean dwarf [Scirpus] swards,"Formations of the Mediterranean basin occupying temporarily inundated or wet terrain, dominated by small club-rushes of section [Isolepis] ([Scirpus setaceus], [Scirpus pseudosetaceus], [Scirpus cernuus]). "
C3.421A,6,Mediterranean [Eleocharis] swards,"Formations of temporarily inundated or wet terrain, dominated by spike-rushes ([Eleocharis palustris]), accompanied by small annual herbs and grasses. "
C3.422,5,Tall Mediterranean amphibious communities,"Formations of Mediterranean and thermo-Atlantic entirely or partially summer-dry ponds, pools, ditches and springs, developed on terrain covered by deep waters during long periods, composed of an admixture of small annuals and of tall perennials or annuals, in particular, of genera [Mentha] ([Mentha cervina], [Mentha longifolia]) and [Eryngium] ([Eryngium corniculatum])."
C3.423,5,Mediterranean amphibious crypsis swards,"Slighly halophile and nitrophile post-estival vegetation of temporarily inundated terrains, with [Crypsis schoenoides], [Crypsis aculeata], [Crypsis alopecuroides] and [Centaurium spicatum]."
C3.43,4,Central Eurasian amphibious communities,"Annual dwarf sedges, rushes and [Elatine] spp. communities of recently emerged muds and sands, characteristic of the Pannonic plain, the Black Sea lowlands and adjacent areas of the Balkan peninsula, outside of the Mediterranean influence. Communities of units C3.511 and C3.513 occur locally in the same region."
C3.431,5,Ponto-Pannonic riverbank dwarf sedge communities,"Communities of nitrogen-rich muds and inundation zones of watercourses and lakes of the western central Eurasian steppe and pre-steppe zones, in particular of Pannonic and sub-Pannonic plains and hills, with [Cyperus fuscus], [Cyperus flavescens], [Cyperus michelianus] ([Dichostylis michelianus]), [Juncus bufonius], [Echinochloa crus-galli], [Filaginella uliginosa] ([Gnaphalium uliginosum]), [Elatine hungarica], [Ammannia verticillata]."
C3.432,5,Ponto-Pannonic rice-field dwarf sedge communities,"Communities of rice field muds and of river and lake inundation zones of the western central Eurasian steppe and pre-steppe zones, distributed in particular in the Pannonic region, Russia, the Balkans and central Asia, with [Elatine hungarica], [Elatine triandra], [Eleocharis acicularis], [Scirpus supinus], [Lindernia procumbens], [Peplis portula], [Marsilea quadrifolia]."
C3.433,5,Ponto-Pannonic halo-nitrophile amphibious swards,"Communities of the western central Eurasian steppe and pre-steppe zones, extending from Pannonic and sub-Pannonic plains and hills to the Caucasus, developed on clayey, nitrogen-rich saline or somewhat saline soils. Characteristic species include [Lythrum hyssopifolia], [Lythrum tribracteatum], [Lythrum linifolium], terrestrial forms of [Elatine alsinastrum], [Elatine triandra], [Elatine hydropiper], [Elatine hungarica], [Mentha aquatica], [Hippuris vulgaris] and crowfoots of subgenus [Batrachium]."
C3.44,4,Dwarf spike-rush ([Eleocharis]) beds of inland saline and brackish waters,"Emergent [Eleocharis parvula] or [Eleocharis acicularis] formations of brackish lakes and inland seas, their inlets, estuaries, lagoons, mud or sand flats, and other inland brackish waterbodies."
C3.45,4,Watercress beds,"Inundated or inundatable fields used for the cultivation of forbs, in particular, watercress, [Nasturtium officinale] ([Rorippa nasturtium-aquaticum]). Low-growing communities, at maximum 20 cm tall, which may be open or closed."
C3.5,3,Periodically inundated shores with pioneer and ephemeral vegetation,"Muddy, sandy and gravelly shores and dried-up bottoms of lakes and rivers, with moderate cover of vascular plants. These include annuals (e.g. [Bidens] spp., [Cyperus] spp., [Persicaria] spp.), developing during the exposure phase as well as perennials tolerant of temporary total immersion."
C3.51,4,Euro-Siberian dwarf annual amphibious swards,"Dwarf oligo-mesotrophic annual communities of recently emerged muds and sands of the nemoral, boreonemoral and boreal regions. Terrestrial forms of amphibious species and annual species are frequent. A dynamic habitat, and several aspects can occur during the vegetation cycle. If the substrate is sufficiently wet, and also in advanced successional stages, the moss layer is abundant. Typical species are [Juncus bufonius], [Cyperus fuscus], [Cyperus flavescens] and other species from vegetation of class [Isoeto-Nanojuncetea]."
C3.511,5,Freshwater dwarf spike-rush communities,"Rare communities colonising the fluid muds of drying ponds of nemoral, boreonemoral, boreal, and, locally, steppic, Palaearctic Eurasia, characterised by [Eleocharis ovata], [Eleocharis carniolica], [Carex bohemica], [Lindernia procumbens], [Scirpus supinus], [Limosella aquatica], [Cyperus fuscus], [Peplis portula], [Juncus tenageia], [Elatine hexandra], [Elatine hydropiper], and [Coleanthus subtilis]; the latter species has a highly disjunct distribution, principally in western France, the Czech Republic and adjacent southeastern Germany and northern Austria, the Lake Ladoga region of Russia and Amurland."
C3.512,5,Dune-slack centaury swards,"Pioneer formations of humid calcareous sands of Atlantic and sub-Atlantic Europe, recorded from the North Sea coasts of northern France, Belgium, the Netherlands, England, Germany and Denmark, and from the Baltic coast of Germany, with [Samolus valerandi], [Centaurium littorale], [Centaurium erythraea], [Centaurium pulchellum], [Gentianella amarella], [Blackstonia perfoliata], [Juncus bufonius], characteristic of humid dune slacks and dune pool fringes, on soils with low salinity."
C3.513,5,Dwarf toad-rush communities,"Associations, often very limited in extent, appearing in the drying phase of temporary pools, flooded ruts of forest paths, wet heath paths, humid forest cuts, seeping mowed lawns and other sufficiently lit temporarily inundated, most often acidic, soils of nemoral, boreonemoral, boreal, and, locally, steppic, Palaearctic Eurasia, characterised by [Juncus bufonius], [Scirpus setaceus], [Cyperus flavescens], [Centunculus minimus], [Spergularia segetalis], [Centaurium pulchellum], [Blackstonia perfoliata], [Samolus valerandi], [Cicendia filiformis], [Radiola linoides] and [Illecebrum verticillatum]."
C3.5131,6,Toad-rush swards,"Communities of temporary pools, flooded ruts of forest paths, and other sufficiently lit temporarily inundated or moist soils of nemoral, boreonemoral and boreal Palaearctic Eurasia dominated by [Juncus bufonius]."
C3.5132,6,Small galingale swards,"Medio-European communities dominated by the annual galingales [Cyperus flavescens], [Cyperus fuscus] and [Cyperus michelianus]."
C3.5133,6,Wet ground dwarf herb communities,"Varied communities, some very rare and threatened, of small annuals of wet ground of nemoral and boreonemoral Palaearctic Eurasia. "
C3.52,4,[Bidens] communities (of lake and pond shores),"Dense, taller annual communities (usually up to maximum height 100 cm) colonizing nitrogen-rich muds of dry ponds and lakes of the boreal and nemoral zones of the Palaearctic, and locally of the Eurasian steppe zone. Dominants are [Bidens] spp., [Rorippa palustris], [Rorippa islandica], [Chenopodium] spp., [Polygonum] spp., [Rumex maritimus], [Rumex palustris], [Ranunculus sceleratus], [Senecio congestus], [Catabrosa aquatica] and [Leersia oryzoides]."
C3.53,4,Euro-Siberian annual river mud communities,"Pioneer formations of tall annuals colonizing nitrogen-rich muds of lowland rivers of boreal and nemoral zones, and locally of the Eurasian steppe zone, occurring also in Mediterranean region, with [Bidens] spp., [Rorippa] spp., [Chenopodium] spp., [Polygonum] spp. and [Xanthium] spp."
C3.54,4,Boreo-arctic river mud communities,Communities colonizing fine material deposits of low arctic and northern boreal rivers and springs of the Palaearctic region.
C3.55,4,Sparsely vegetated river gravel banks,"Vascular plant communities occupying gravel deposits of rivers, including pioneer vegetation and subsequent stages in the colonization sequence. Early-stage communities of Alpine, boreal and Mediterranean watercourses are specialised, those of nemoral lowlands and hills are related to other formations, in particular those of unit E3. Vegetation communites of e.g. [Thlaspietea rotundifolii] – [Glaucion flavi] and [Salicion eleagno-daphnoidis], with the most typical species [Caltha palustris ssp. laeta], [Salix elaeagnos], [Salix purpurea] and [Poa trivialis]."
C3.551,5,Boreo-alpine stream gravel habitats,"Open assemblies of herbaceous or suffrutescent pioneering plants, rich in alpine species, colonizing gravel beds of Palaearctic streams with an alpine, summer-high, flow regime, formed in northern boreal and lower arctic mountains, hills and sometimes lowlands, as well as in the alpine and subalpine zones of higher, glaciated, mountains of more southern regions, sometimes with abyssal stations at lower altitudes."
C3.552,5,Montane river gravel habitats,"Open or closed assemblies of herbaceous or suffrutescent pioneering plants, colonizing, within the montane or submontane levels, gravel beds of streams with an alpine, summer-high, flow regime, born in high mountains of the Alpine system."
C3.5521,6,River gravel chondrilla communities,"Open and often unstable assemblies of herbaceous or suffrutescent pioneering plants, rich in casual immigrants from higher altitudes, colonizing gravel beds of the montane reaches of unregulated Alpine streams, with [Chondrilla chondrilloides], often accompanied by [Erucastrum nasturtiifolium], [Gypsophila repens], [Dryas octopetala], [Aethionema saxatile], [Epilobium dodonaei], [Erigeron acer], [Leontodon berinii], [Buphthalmum salicifolium], [Euphorbia cyparissias], [Fumana procumbens], [Agrostis gigantea], [Anthyllis vulneraria ssp. alpestris], [Campanula cochlearifolia], [Hieracium piloselloides], [Calamagrostis pseudophragmites], [Conyza canadensis], [Pritzelago alpina], and seedlings of [Salix elaeagnos], [Salix purpurea], [Salix daphnoides] and [Myricaria germanica]. Because of widespread interference with natural flow regimes, these formations are gravely endangered."
C3.5522,6,Small-reed river gravel communities,"Closed or lacunar assemblies of often large herbaceous or suffrutescent pioneering plants colonizing montane and submontane gravel beds loaded with finer sands or silts of unregulated streams of the Alpine system and its vicinity. [Calamagrostis pseudophragmites] is usually dominant, seedlings of montane and dealpine willows, characteristic of C3.5521, often absent."
C3.55221,7,Carpatho-Alpine small-reed river gravel communities,"[Calamagrostis pseudophragmites]-dominated communities of rivers originating in the Alpine and Carpathian arcs complex. Characteristic plants include [Epilobium dodonaei], [Agrostis gigantea], [Phalaris arundinacea], [Tussilago farfara]. Like those of unit C3.5521, these communities are gravely threatened by widespread watercourse alterations affecting natural flow regimes."
C3.55222,7,Pyreneo-Cantabric small-reed river gravel communities,"Assemblies of herbaceous or suffrutescent pioneering plants colonizing gravel beds of streams with an alpine, summer-high, flow regime in the montane zone of the Pyrenees and the Cantabrian chain, with [Calamagrostis pseudophragmites] and [Erucastrum nasturtiifolium].
"
C3.5523,6,Figwort river gravel communities,"Thermophile pioneer communities of river gravels, mostly characteristic of the upper Rhine, with [Scrophularia canina], [Epilobium dodonaei], [Hieracium piloselloides], [Silene prostrata], [Inula conyza], [Centaurea stoebe ssp. stoebe], [Arenaria serpyllifolia], [Echium vulgare], [Salix elaeagnos] seedlings."
C3.5524,6,Ponto-Caucasian river gravel communities,"Open or closed assemblies of herbaceous or suffrutescent pioneering plants, colonizing, within the montane or submontane levels, gravel beds of streams with an alpine, summer-high, flow regime, born in the high Ponto-Caucasian mountains."
C3.553,5,Mediterranean river gravel habitats,"Communities colonizing gravel deposits of Palaearctic rivers with a Mediterranean, summer-low, flow regime, with, in particular, [Myricaria germanica], [Erucastrum nasturtiifolium], [Glaucium flavum], [Oenothera biennis]."
C3.554,5,Northern lowland river gravel communities,"Communities, less specialised than those of high mountain, boreo-arctic and Mediterranean watercourses, colonizing river gravels of lowland and hill rivers of the Palaearctic nemoral, boreonemoral and adjacent zones. Precise formations can be indicated by use of codes from unit E, in particular unit E5.4, and from unit G1."
C3.6,3,Unvegetated or sparsely vegetated shores with soft or mobile sediments,"Banks of sand, gravel and mud in or by rivers. Gravel by mountain streams. Mud bottoms of dried-up rivers and lakes, including saline lakes. Exposed sand, gravel and mud at the edge of lakes."
C3.61,4,Unvegetated river sand banks,"Unvegetated sand deposits of streams, occupying the edges of the stream, forming islands in the channel or supporting the arms and rivulets constituting the stream, together with their associated animal communities."
C3.62,4,Unvegetated river gravel banks,"Unvegetated deposit beds of streams formed of pebbles, gravels, boulders or a mixture of gravels and finer sediments, occupying the edges of the stream, forming islands in the channel or supporting the arms and rivulets constituting the stream, together with their associated animal communities. Corresponding habitats with pioneer or ephemeral vascular vegetation are included in unit C3.55 and their succession leads to willow woodland (G1.11)."
C3.63,4,Unvegetated river mud banks,"Unvegetated silt or mud deposits of streams occupying the edges of the stream, forming islands in the channel or supporting the arms and rivulets constituting the stream, together with their associated animal communities. Later in the succession they are vegetated by species of [Bidens] and [Polygonum] (C3.52, C3.53) or wetland vegetation of unit C3.2 may be established."
C3.64,4,Exposed unvegetated freshwater lake sands and shingles,"Unvegetated lake-bottoms or lake-shores temporarily exposed by artificial or natural fluctuations of the water level, often important as feeding grounds for migrating waders. Unvegetated lacustrine beaches, formed by wind or wave action. Succession usually leads to habitats of periodically inundated shores with pioneer and ephemeral vegetation (C3.5)."
C3.65,4,Exposed unvegetated freshwater lake muds,"Unvegetated lake-bottoms or lake-shores temporarily exposed by artificial or natural fluctuations of the water level, often important as feeding grounds for migrating waders. Unvegetated lacustrine beaches, formed by wind or wave action. "
C3.66,4,Exposed unvegetated beaches of inland saline and brackish waters with soft sediments,"Unvegetated bottoms or shores of athalassic saline water bodies temporarily exposed by artificial or natural fluctuations of the water level, often covered with salt efflorescences. "
C3.7,3,Unvegetated or sparsely vegetated shores with non-mobile substrates,"Periodically exposed rocks, pavements and blocks beside rivers and lakes, and in the draw-down zone of reservoirs."
C3.71,4,"Periodically exposed river-bed rocks, pavements and blocks","Hard rock features permanently emerging from, or temporarily uncovered by, Palaearctic water courses."
C3.72,4,"Periodically exposed lake-bed rocks, pavements and blocks","Hard rock features permanently emerging from, or temporarily uncovered by, Palaearctic lakes. Rocks are either without vegetation or very sparsely vegetated."
C3.73,4,Draw-down zones of reservoirs with non-mobile substrates,Temporarily exposed rocky or stony margins of reservoirs. Ephemeral vegetation or temporary animal communities depend on the regime and dynamics of the water level in the reservoir.
C3.8,3,Inland spray- and steam-dependent habitats,Spray-washed margins of pools below waterfalls. Steamy margins of geysers and hot springs.
D,1,"Mires, bogs and fens","Wetlands, with the water table at or above ground level for at least half of the year, dominated by herbaceous or ericoid vegetation. Includes inland saltmarshes and waterlogged habitats where the groundwater is frozen. Excludes the water body and rock structure of springs (C2.1) and waterlogged habitats dominated by trees or large shrubs (F9.2, G1.4, G1.5, G3.D, G3.E). Note that habitats that intimately combine waterlogged mires and vegetation rafts with pools of open water are considered as complexes."
D1,2,Raised and blanket bogs,"Peatlands formed by ombrotrophic acid peat, which is (or was while actively growing) capable of growth fed by rainfall rather than by the inflow of water from higher ground in the vicinity."
D1.1,3,Raised bogs,"The mire surface and underlying peat of highly oligotrophic, strongly acidic peatlands with a raised centre from which water drains towards the edges. The peat is composed mainly of sphagnum remains. Raised bogs form on nearly flat ground and derive moisture and nutrients only from rainfall (ombrotrophic). Raised bog complexes (X04) include larger bog pools (C1.46) and a marginal lagg (C1.47), as well as the main mire surface (D1.1), which in actively-growing raised bogs typically comprises a complex of low hummocks, small pools and their associated vegetation. Raised bogs form only in cool climates with high rainfall. They are most widespread in the boreal zone and in the mountains and hills of the nemoral zone; they occur locally in the lowlands of the nemoral zone. They are characteristic of lowlands and hills of northwestern and northern Europe, the adjacent Hercynian ranges, the Jura, the Alps and the Carpathians. Bogs harbour, in addition to sphagna, which are often abundant, a small number of vascular plants such as [Eriophorum vaginatum], [Scirpus cespitosus] ([Trichophorum cespitosum]), [Carex pauciflora], [Carex paupercula], [Ledum palustre], [Vaccinium oxycoccos], [Andromeda polifolia] and [Drosera rotundifolia], and lichens. Animal species are not numerous but those that are adapted to bogs are highly specialised. Among typical invertebrates figure dragonflies ([Leucorrhinia dubia], [Aeshna subarctica], [Aeshna caerulea], [Aeshna juncea], [Somatochlora arctica], [Somatochlora alpestris]), lepidopterans ([Colias palaeno], [Boloria aquilonaris], [Coenonympha tullia], [Vacciniina optilete], [Hypenodes turfosalis], [Eugraphe subrosea]), beetles, ants ([Formica exsecta]), bugs and spiders ([Pardosa sphagnicola], [Glyphesis cottonae]). Most of the species that bogs harbour are rare and their populations fragmented into isolated relictual elements; several are threatened. The remaining intact or nearly intact communities are exceptional."
D1.11,4,"Active, relatively undamaged raised bogs","Undisturbed, or little disturbed, peat-forming bogs, often taking the shape of a convex lens. Such intact or nearly intact systems have become very rare or even exceptional. They are composed of a number of communities, which form and occupy the topological features of the bog. These communities are interrelated and function as a unit (part of complex X04), so that they cannot be regarded as separate subhabitats; their presence and combination, however, characterizes the various types of bogs. The subunits thus contribute to a description of individual bog systems. Vegetation of alliances [Oxycocco-Empetrion hermaphroditi], [Sphagnion medii] and [Sphagnion cuspidati]. Typical species in the herb layer [Eriophorum vaginatum], [Oxycoccus palustris], [Vaccinium] spp.; in the moss layer dominance of genus [Sphagnum] spp., e.g. [Sphagnum cuspidatum], [Sphagnum fallax], [Sphagnum palustre] and [Sphagnum magellanicum] among others."
D1.111,5,"Raised bog hummocks, ridges and lawns","Vegetation of the higher parts of the plateau of Palaearctic bogs and of its drier, marginal slope. Intact, typical, raised bogs of northern, lowland and low montane central and eastern Europe display an alternance of well-marked sphagnum hummocks, colonized or not, especially in their drier upper part, by small shrubs, lower, wetter, flat lawns and wet hollows or schlenken. Sphagnum hummocks with no, or few, shrubs are listed in unit D1.1111, sphagnum hummocks, or parts of them, colonized by shrubs in unit D1.1113, lawns in unit D1.1112. In bogs under strong oceanic influence, in high-altitude bogs, in bogs subjected to minerotrophic influences or anthropogenic degradation, a sparse cover of shrubs or tussock-forming graminoids may become ubiquitous and the distinction between hummock and lawn, or even between hummock, lawn and hollow, blurred, in bogs that are often somewhat intermediate towards blanket bogs. Such communities are listed in units D1.1114 to D1.1116, as well as in D1.114 and in D1.121; in some of them sphagna may be scarce or replaced by bryopsid mosses. Well-defined sphagnum hummocks of unit D1.1111 may nevertheless develop in conjunction with them. The dominance role is played by deergrass, [Scirpus cespitosus], in montane central European bogs, or parts of bogs listed in unit D1.1114. In Atlantic bogs listed in unit D1.1115 it is played by [Erica tetralix]. Somewhat degraded bogs, in particular, bogs affected by anthropozoogenic influences in Atlantic climates, may be overwhelmingly dominated by [Eriophorum vaginatum], usually with complete blurring of the structure. They are listed in unit D1.1116. More severely degraded bogs, invaded by [Molinia caerulea], are listed in unit D1.121. The highly distinctive shrub and sphagnum or shrub and moss hummocks bog expanses of the montane, rapidly dessicating, bogs of the boreal and subarctic zones are listed in unit D1.114 Sphagnum hummocks forming in acidic fens (unit D2.2), transition mires (unit D2.3) or, sometimes, rich fens (unit D4.1), are also indicated by codes of units D1.1111 or D1.1113."
D1.1111,6,Colourful sphagnum hummocks (bulten),"Cushiony domes or buttes of Palaearctic bogs, mainly made of red, yellow or brown sphagna, with other mosses, in particular, [Campylopus pyriformis] ([Campylopus fragilis var. pyriformis]), liverworts, including [Odontoschisma sphagni], [Mylia anomala], lichens ([Cladonia] spp., [Cladina] spp.), [Andromeda polifolia], [Vaccinium oxycoccos], [Drosera rotundifolia], and a small admixture of vascular plants characteristic of the lawn, such as [Eriophorum vaginatum], [Carex pauciflora], [Scirpus cespitosus], or of dwarf shrub hummocks, in particular, [Calluna vulgaris], [Ledum palustre], [Erica tetralix], communities which are, in any case, usually closely associated with these."
D1.11111,7,[Sphagnum magellanicum] hummocks,"Bog hummocks formed by the swollen-leaved, brownish or greenish-red [Sphagnum magellanicum], characteristic of suboceanic bogs, notably of bogs of the Danish archipelago, of sub-Atlantic Scandinavia in southeastern Norway and western Sweden, of northern Central Europe, of the southeastern Baltic lowlands, of the middle European Hercynian ranges, from the Ardennes, the Central Massif, the Vosges, the Black Forest east to the Bohemian Quadrangle, of the northern pre-Alpine plateaux and the Alps south to the southern Alps, of Amurland, also reported from the subalpine level of the Altai."
D1.11112,7,[Sphagnum fuscum] hummocks,"Shiny brown [Sphagnum fuscum] hummocks, dense, usually low and wide, characteristic of bogs of subcontinental boreal Europe from southeastern Norway, central and eastern Sweden eastwards, of continental boreal Europe and western Siberia, of Kamchatka, of Sakhalin, of nemoral Central Europe and of boreonemoral Eastern Europe, of the Alps and the Carpathians, occasionally prominent in more western, more Atlantic, bogs, in particular, in the British Isles, also occurring as ombrotrophic bog hummocks within acidic or neutrocline mires of the same regions."
D1.11113,7,[Sphagnum rubellum] hummock wreaths,Dark red [Sphagnum rubellum] ([Sphagnum capillifolium var. rubellum]) communities often encircling the bases of [Sphagnum magellanicum] or [Sphagnum fuscum] hummocks of nemoral European bogs.
D1.11114,7,[Sphagnum rubellum] hummocks,"Hummocks of western Palaearctic bogs, mostly characteristic of Atlantic to sub-Atlantic nemoral bogs, recorded, in particular, from Jutland and southwestern Norway, the British Isles, the eastern Netherlands, eastern and southeastern Belgium, France, Germany and the Alps, dominated by [Sphagnum rubellum] ([Sphagnum capillifolium var. rubellum])."
